domain,email_found,pages_tried,business_names
zapgo.pl,biuro@zapgo.pl,homepage,Zap&go Sp. z o.o.; Zap&go Sp. z o.o.; Zap&amp;go Sp. z o.o.; Zap&amp;go Sp. z o.o.
ekomilo.pl,kontakt@ekomilo.pl,homepage,Ekomilo | firma sprzątająca Warszawa | kompleksowe sprzątanie dla firm; Ekomilo | firma sprzątająca Warszawa | kompleksowe sprzątanie dla firm; Ekomilo Sp. z o.o.; Ekomilo | firma sprzątająca Warszawa | kompleksowe sprzątanie dla firm; Ekomilo | firma sprzątająca Warszawa | kompleksowe sprzątanie dla firm; Ekomilo Sp. z o.o.
czystedomy.com,,homepage; /kontakt,Sy Czyste Domy Sp. z o.o.; Svitlana Yankovska Czyste Domy; Sy Czyste Domy Sp. z o.o.; Svitlana Yankovska Czyste Domy
markclin.pl,,homepage; /kontakt,Usługi sprzątające - MarkClin Marcin Karczewski; Usługi sprzątające - MarkClin Marcin Karczewski
mach-fachogrodzenia.pl,,homepage; /kontakt,Mach-Fach; Mach-Fach
mwrexpertwwa.pl,qwertyko22@wp.pl,homepage,M.W.R Expert Marta Sopińska; M.W.R Expert Marta Sopińska
pagor.eu,,,"Pagór-Prace Wysokościowe, Montaż Billboardów i Tablic Reklamowych; Pagór-Prace Wysokościowe, Montaż Billboardów i Tablic Reklamowych"
amis.rzetelnafirma.pl,zup.amis@vp.pl,homepage,Anna Michalak Zakład Usług Porządkowych Amis Sprzątanie Wnętrz; Anna Michalak Zakład Usług Porządkowych Amis Sprzątanie Wnętrz
asteria.waw.pl,,,Asteria Kompleksowe Usługi Porządkowe; Asteria Kompleksowe Usługi Porządkowe
stefpolcleaning.pl,,,Stefpol Cleaning; Stefpol Cleaning
galserwis.pl,galserwis@gmail.com,homepage,"Gal Serwis - serwis klimatyzacji samochodowej, akumulatory, pranie tapicerki; Gal Serwis - serwis klimatyzacji samochodowej, akumulatory, pranie tapicerki; Gal Serwis - serwis klimatyzacji samochodowej, akumulatory, pranie tapicerki; Gal Serwis - serwis klimatyzacji samochodowej, akumulatory, pranie tapicerki"
rmkcleaningservice.pl,r.m.kcleaningservice21@gmail.com,homepage,R.M.K Cleaning Service Marcin Bąk; R.M.K Cleaning Service Marcin Bąk; R.M.K Cleaning Service Marcin Bąk; R.M.K Cleaning Service Marcin Bąk; R.M.K Cleaning Service Marcin Bąk; R.M.K Cleaning Service Marcin Bąk
