File Path,Key in Code,Default Text (Code),DB English,DB Bulgarian,Status,Detected Namespace,Dict Variable
apps/web/app/[lang]/page.tsx,meta_title,Get clients for your services | Nevumo,,,"NAMESPACE_MISMATCH (code: meta_title, db: homepage.meta_title)",homepage,homepageT
apps/web/app/[lang]/page.tsx,meta_description,Free registration. No commission.,,,"NAMESPACE_MISMATCH (code: meta_description, db: homepage.meta_description)",homepage,homepageT
apps/web/app/[lang]/page.tsx,rotating_categories,"Massage,Cleaning,Plumbing",,,"NAMESPACE_MISMATCH (code: rotating_categories, db: homepage.rotating_categories)",homepage,homepageT
apps/web/app/[lang]/page.tsx,nav_link,Looking for a service?,,,"NAMESPACE_MISMATCH (code: nav_link, db: homepage.nav_link)",homepage,homepageT
apps/web/app/[lang]/page.tsx,hero_prefix,Get clients for,,,"NAMESPACE_MISMATCH (code: hero_prefix, db: homepage.hero_prefix)",homepage,homepageT
apps/web/app/[lang]/page.tsx,hero_suffix,in Warsaw,,,"NAMESPACE_MISMATCH (code: hero_suffix, db: homepage.hero_suffix)",homepage,homepageT
apps/web/app/[lang]/page.tsx,hero_subtitle,Free. No commission. Direct contact.,,,"NAMESPACE_MISMATCH (code: hero_subtitle, db: homepage.hero_subtitle)",homepage,homepageT
apps/web/app/[lang]/page.tsx,trust_1,No commission,,,"NAMESPACE_MISMATCH (code: trust_1, db: homepage.trust_1)",homepage,homepageT
apps/web/app/[lang]/page.tsx,trust_2,2 min registration,,,"NAMESPACE_MISMATCH (code: trust_2, db: homepage.trust_2)",homepage,homepageT
apps/web/app/[lang]/page.tsx,trust_3,Real requests,,,"NAMESPACE_MISMATCH (code: trust_3, db: homepage.trust_3)",homepage,homepageT
apps/web/app/[lang]/page.tsx,social_proof,,,,"NAMESPACE_MISMATCH (code: social_proof, db: homepage.social_proof)",homepage,homepageT
apps/web/app/[lang]/page.tsx,cta_hero,Start for free,,,"NAMESPACE_MISMATCH (code: cta_hero, db: homepage.cta_hero)",homepage,homepageT
apps/web/app/[lang]/page.tsx,how_title,How it works,,,"NAMESPACE_MISMATCH (code: how_title, db: homepage.how_title)",homepage,homepageT
apps/web/app/[lang]/page.tsx,step1_title,Create a profile,,,"NAMESPACE_MISMATCH (code: step1_title, db: homepage.step1_title)",homepage,homepageT
apps/web/app/[lang]/page.tsx,step1_sub,2 minutes,,,"NAMESPACE_MISMATCH (code: step1_sub, db: homepage.step1_sub)",homepage,homepageT
apps/web/app/[lang]/page.tsx,step2_title,Receive client requests,,,"NAMESPACE_MISMATCH (code: step2_title, db: homepage.step2_title)",homepage,homepageT
apps/web/app/[lang]/page.tsx,step2_sub,immediately after registration,,,"NAMESPACE_MISMATCH (code: step2_sub, db: homepage.step2_sub)",homepage,homepageT
apps/web/app/[lang]/page.tsx,step3_title,Contact clients directly,,,"NAMESPACE_MISMATCH (code: step3_title, db: homepage.step3_title)",homepage,homepageT
apps/web/app/[lang]/page.tsx,step3_sub,no middlemen,,,"NAMESPACE_MISMATCH (code: step3_sub, db: homepage.step3_sub)",homepage,homepageT
apps/web/app/[lang]/page.tsx,cat_cleaning_name,Cleaning,,,"NAMESPACE_MISMATCH (code: cat_cleaning_name, db: homepage.cat_cleaning_name)",homepage,homepageT
apps/web/app/[lang]/page.tsx,cat_cleaning_leads,26 requests this week,,,"NAMESPACE_MISMATCH (code: cat_cleaning_leads, db: homepage.cat_cleaning_leads)",homepage,homepageT
apps/web/app/[lang]/page.tsx,cat_cta,I offer this service,,,"NAMESPACE_MISMATCH (code: cat_cta, db: homepage.cat_cta)",homepage,homepageT
apps/web/app/[lang]/page.tsx,cat_plumbing_name,Plumbing,,,"NAMESPACE_MISMATCH (code: cat_plumbing_name, db: homepage.cat_plumbing_name)",homepage,homepageT
apps/web/app/[lang]/page.tsx,cat_plumbing_leads,18 requests this week,,,"NAMESPACE_MISMATCH (code: cat_plumbing_leads, db: homepage.cat_plumbing_leads)",homepage,homepageT
apps/web/app/[lang]/page.tsx,cat_cta,I offer this service,,,"NAMESPACE_MISMATCH (code: cat_cta, db: homepage.cat_cta)",homepage,homepageT
apps/web/app/[lang]/page.tsx,cat_massage_name,Massage,,,"NAMESPACE_MISMATCH (code: cat_massage_name, db: homepage.cat_massage_name)",homepage,homepageT
apps/web/app/[lang]/page.tsx,cat_massage_leads,14 requests this week,,,"NAMESPACE_MISMATCH (code: cat_massage_leads, db: homepage.cat_massage_leads)",homepage,homepageT
apps/web/app/[lang]/page.tsx,cat_cta,I offer this service,,,"NAMESPACE_MISMATCH (code: cat_cta, db: homepage.cat_cta)",homepage,homepageT
apps/web/app/[lang]/page.tsx,activity_title,Recent requests,,,"NAMESPACE_MISMATCH (code: activity_title, db: homepage.activity_title)",homepage,homepageT
apps/web/app/[lang]/page.tsx,activity_1,,,,"NAMESPACE_MISMATCH (code: activity_1, db: homepage.activity_1)",homepage,homepageT
apps/web/app/[lang]/page.tsx,activity_1_time,,,,"NAMESPACE_MISMATCH (code: activity_1_time, db: homepage.activity_1_time)",homepage,homepageT
apps/web/app/[lang]/page.tsx,activity_2,,,,"NAMESPACE_MISMATCH (code: activity_2, db: homepage.activity_2)",homepage,homepageT
